,Age,EdLevel,MentalHealth,MainBranch,YearsCode,YearsCodePro,custom_employment
332,<35,Undergraduate,No,Dev,6,7,0
333,<35,Undergraduate,No,Dev,10,6,1
334,<35,Other,No,Dev,6,3,1
335,<35,Other,Yes,Dev,3,2,0
336,<35,Master,No,Dev,7,5,1
337,<35,Master,No,Dev,12,10,0
338,<35,Undergraduate,No,Dev,15,8,1
339,<35,Master,No,Dev,11,3,1
340,<35,Master,No,Dev,20,10,1
341,<35,Undergraduate,Yes,Dev,2,1,0
342,<35,Master,Yes,Dev,7,3,1
343,<35,Other,No,Dev,7,5,0
344,<35,Other,No,Dev,8,Less than 1 year,0
345,<35,Undergraduate,No,Dev,11,7,1
346,<35,Other,No,Dev,12,8,0
347,<35,Undergraduate,Yes,Dev,10,5,0
348,>35,Undergraduate,Yes,Dev,27,11,1
349,<35,PhD,No,NotDev,10,7,1
350,>35,Undergraduate,No,Dev,35,30,1
351,<35,PhD,No,Dev,6,6,0
352,<35,Undergraduate,Yes,Dev,4,1,0
353,<35,Undergraduate,No,Dev,3,2,1
354,>35,Master,No,Dev,9,9,1
355,>35,Undergraduate,No,Dev,30,20,1
356,<35,Undergraduate,No,Dev,3,2,0
357,<35,Master,No,Dev,7,4,0
358,<35,Undergraduate,No,Dev,5,4,0
359,>35,Undergraduate,No,NotDev,9,9,1
360,<35,Undergraduate,Yes,Dev,15,8,0
361,>35,Other,No,Dev,41,14,1
362,>35,Undergraduate,Yes,Dev,45,33,1
363,<35,Other,No,Dev,9,3,1
364,>35,Undergraduate,No,Dev,14,8,1
365,>35,Other,No,Dev,35,25,1
366,>35,Other,No,NotDev,More than 50 years,More than 50 years,0
367,<35,Undergraduate,No,Dev,6,2,0
368,>35,Other,Yes,NotDev,25,4,1
369,<35,Other,No,Dev,3,2,0
370,<35,Master,No,Dev,9,7,1
371,<35,Master,No,Dev,2,1,0
372,<35,Master,No,Dev,20,5,0
373,<35,Master,No,Dev,10,8,1
374,<35,Undergraduate,No,Dev,13,4,1
375,>35,Other,No,Dev,33,20,1
376,<35,Other,No,Dev,20,12,1
377,<35,Undergraduate,Yes,Dev,18,13,1
378,<35,Other,No,Dev,15,9,1
379,<35,Master,No,Dev,12,4,0
380,<35,Other,No,Dev,18,14,1
381,<35,Master,No,Dev,6,5,1
382,<35,Master,No,Dev,12,7,1
383,>35,Undergraduate,No,Dev,43,35,1
384,<35,Other,No,Dev,15,9,0
385,<35,Other,Yes,Dev,10,4,1
386,>35,Master,No,Dev,29,24,1
387,<35,Other,No,Dev,4,4,0
388,<35,Undergraduate,No,Dev,6,3,1
389,<35,Master,No,Dev,6,1,0
390,<35,Undergraduate,No,Dev,5,1,0
391,>35,Master,No,Dev,20,10,1
392,<35,Undergraduate,Yes,Dev,11,Less than 1 year,0
393,>35,Undergraduate,No,Dev,14,7,1
394,<35,Undergraduate,Yes,Dev,2,1,0
395,>35,Other,No,Dev,35,25,1
396,>35,Undergraduate,No,Dev,21,20,1
397,<35,Undergraduate,No,NotDev,12,5,1
398,<35,Master,No,NotDev,4,2,0
399,>35,Undergraduate,No,Dev,22,15,1
400,<35,Other,No,Dev,12,6,1
401,>35,Master,No,Dev,20,16,1
402,>35,Master,No,Dev,42,30,1
403,<35,Undergraduate,No,Dev,10,4,0
404,>35,PhD,No,NotDev,30,12,1
405,<35,Undergraduate,Yes,Dev,12,9,1
406,<35,Master,No,Dev,10,2,1
407,<35,Undergraduate,No,Dev,10,3,0
408,<35,Master,No,Dev,13,4,1
409,>35,Undergraduate,Yes,Dev,20,15,1
410,<35,Undergraduate,No,Dev,12,8,1
411,>35,Undergraduate,Yes,Dev,20,5,0
412,<35,Master,No,Dev,6,6,0
413,<35,Undergraduate,No,Dev,10,5,0
414,<35,Master,Yes,Dev,11,2,0
415,<35,Other,Yes,NotDev,3,1,0
416,<35,Undergraduate,Yes,Dev,10,5,1
417,<35,Undergraduate,No,Dev,15,7,1
418,<35,Master,No,Dev,13,6,1
419,<35,Other,No,Dev,8,1,0
420,<35,Undergraduate,Yes,Dev,16,10,0
421,>35,Master,No,Dev,19,14,1
422,<35,Undergraduate,No,Dev,4,2,0
423,>35,Master,No,Dev,28,22,1
424,>35,Other,No,NotDev,10,3,1
425,<35,Other,Yes,Dev,17,12,1
426,<35,Other,No,Dev,12,6,0
427,<35,Master,No,Dev,11,5,0
428,>35,Other,No,Dev,30,12,1
429,<35,PhD,No,Dev,4,1,1
430,<35,Undergraduate,No,Dev,8,3,0
431,<35,Undergraduate,No,Dev,4,2,0
432,<35,Master,No,Dev,13,3,0
433,>35,Undergraduate,No,Dev,27,25,1
434,<35,Other,No,Dev,18,14,1
435,<35,Other,No,Dev,8,6,0
436,<35,Undergraduate,No,Dev,9,1,1
437,<35,Undergraduate,No,Dev,8,3,1
438,<35,Master,No,Dev,16,9,1
439,<35,Undergraduate,No,Dev,15,10,0
440,>35,Undergraduate,No,Dev,30,8,1
441,<35,Master,No,NotDev,9,4,1
442,<35,Undergraduate,No,Dev,6,4,1
443,<35,PhD,No,Dev,14,7,1
444,<35,Undergraduate,No,Dev,21,14,1
445,<35,Other,No,Dev,9,Less than 1 year,0
446,<35,Master,No,Dev,9,4,1
447,<35,Master,No,Dev,5,1,1
448,<35,Master,No,Dev,14,4,1
449,<35,Undergraduate,No,Dev,6,4,0
450,<35,Other,No,Dev,4,2,0
451,<35,Master,No,Dev,3,2,1
452,<35,Undergraduate,No,Dev,4,Less than 1 year,1
453,<35,Master,Yes,Dev,15,8,0
454,<35,Undergraduate,Yes,Dev,8,3,1
455,<35,Other,No,Dev,3,1,0
456,<35,Master,No,Dev,10,2,1
457,<35,Undergraduate,No,Dev,7,3,1
458,<35,Other,No,Dev,8,4,0
459,<35,Undergraduate,Yes,Dev,6,2,1
460,<35,Undergraduate,Yes,Dev,16,15,1
461,>35,Other,No,Dev,18,15,1
462,<35,Master,No,Dev,13,11,1
463,<35,Master,No,Dev,15,6,1
464,<35,Undergraduate,No,Dev,9,2,1
465,>35,PhD,No,Dev,25,24,1
466,<35,Other,No,Dev,15,7,1
467,<35,Other,No,Dev,15,13,1
468,<35,Master,Yes,Dev,15,6,0
469,>35,Master,No,Dev,24,15,0
470,>35,Undergraduate,No,Dev,12,11,1
471,<35,Other,No,Dev,15,10,1
472,<35,Undergraduate,No,Dev,6,4,0
473,<35,Master,No,NotDev,10,2,0
474,<35,Undergraduate,No,Dev,3,Less than 1 year,0
475,>35,Other,No,Dev,29,21,1
476,<35,Undergraduate,No,Dev,15,5,1
477,<35,Undergraduate,Yes,Dev,17,5,1
478,<35,Master,No,Dev,12,3,0
479,>35,Undergraduate,No,Dev,26,23,1
480,>35,Master,Yes,Dev,2,2,0
481,>35,Undergraduate,No,Dev,14,10,1
482,>35,Undergraduate,No,Dev,23,10,1
483,<35,Other,Yes,Dev,10,8,1
484,<35,Master,No,Dev,9,3,1
485,>35,Undergraduate,No,Dev,30,15,1
486,<35,Master,No,Dev,10,5,0
487,<35,Master,No,Dev,8,5,1
488,<35,Master,No,Dev,6,Less than 1 year,1
489,<35,Undergraduate,No,Dev,7,3,0
490,>35,Undergraduate,No,Dev,27,19,1
491,<35,Undergraduate,Yes,Dev,5,5,0
492,<35,Undergraduate,No,Dev,6,2,1
493,>35,Master,No,Dev,30,12,1
494,<35,Master,No,Dev,19,7,1
495,<35,Master,No,Dev,15,7,0
496,<35,Master,No,Dev,14,6,1
497,<35,Master,Yes,Dev,12,7,1
498,>35,Master,No,Dev,15,10,1
499,<35,Undergraduate,No,Dev,9,5,0
500,>35,PhD,Yes,NotDev,35,19,1
501,>35,Undergraduate,No,Dev,22,12,1
502,<35,Other,No,Dev,17,10,0
503,<35,Other,No,Dev,12,11,0
504,<35,Undergraduate,No,Dev,10,1,0
505,<35,Undergraduate,No,Dev,9,5,1
506,>35,Master,No,Dev,30,25,1
507,<35,Undergraduate,No,Dev,6,2,0
508,<35,Undergraduate,No,Dev,20,24,0
509,<35,Undergraduate,No,Dev,9,7,0
510,<35,Undergraduate,No,Dev,11,2,1
511,<35,Other,No,Dev,5,4,0
512,>35,Other,Yes,NotDev,31,18,1
513,<35,Undergraduate,No,Dev,10,6,1
514,<35,Undergraduate,No,Dev,5,1,0
515,>35,Master,No,Dev,10,10,1
516,<35,Other,No,Dev,19,15,1
517,<35,Undergraduate,Yes,Dev,20,9,1
518,<35,Undergraduate,No,Dev,13,6,0
519,<35,Undergraduate,Yes,Dev,10,3,1
520,<35,Master,No,Dev,7,3,1
521,<35,Undergraduate,No,Dev,8,4,0
522,>35,Undergraduate,No,Dev,42,37,1
523,<35,Master,No,Dev,10,6,0
524,<35,Master,Yes,Dev,10,8,1
525,<35,Undergraduate,No,Dev,5,4,0
526,>35,Master,No,Dev,30,30,1
527,>35,Master,No,NotDev,40,27,1
528,<35,Other,Yes,Dev,10,4,1
529,<35,Undergraduate,No,Dev,6,2,0
530,<35,Master,Yes,Dev,7,1,0
531,<35,Undergraduate,No,Dev,10,4,0
532,>35,Undergraduate,No,Dev,35,25,1
533,<35,Other,No,Dev,15,10,1
534,>35,Other,Yes,Dev,28,19,1
535,>35,Other,No,Dev,30,20,1
536,<35,Other,No,Dev,20,10,0
537,>35,Master,No,Dev,20,10,1
538,>35,Master,No,Dev,40,35,1
539,<35,Master,No,Dev,7,3,1
540,<35,Master,No,Dev,10,6,1
541,>35,Master,Yes,Dev,20,15,1
542,>35,Other,No,Dev,10,5,0
543,<35,Undergraduate,No,Dev,11,6,1
544,<35,Master,No,Dev,12,3,0
545,>35,Undergraduate,No,Dev,12,10,1
546,>35,Other,No,Dev,15,10,1
